gene_name	uniprot	is_complex	protein_name	complex_name	id_cp_interaction	B cell	Basal	CTL	Ciliated	Ciliated-diff	FOXN4	IRC	Ionocyte	MC	MoMa	NK	NKT	NKT-p	Neu	Secretory	Secretory-diff	Squamous	Treg	moDC	nrMa	pDC	rMa
CCR10	P46092	False	CCR10_HUMAN		CPI-SS0B2979A10	0.006	0.0	0.003	0.015	0.005	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.008	0.001	0.002	0.014	0.0
CCR2	P41597	False	CCR2_HUMAN		CPI-SS092C1B321	0.006	0.0	0.056	0.0	0.0	0.0	0.005	0.0	0.0	0.334	0.0	0.035	0.02	0.001	0.0	0.003	0.0	0.068	0.0	0.053	0.063	0.019
CCR1	P32246	False	CCR1_HUMAN		CPI-SS04EE957D8	0.07	0.0	0.28	0.002	0.027	0.006	0.034	0.0	0.0	1.199	0.0	0.066	0.104	1.011	0.011	0.021	0.004	0.13	0.225	0.865	0.0	0.025
CCR3	P51677	False	CCR3_HUMAN		CPI-SS0815A0EE0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.007	0.001	0.0	0.0	0.008	0.0	0.0	0.0	0.0
CCR1	P32246	False	CCR1_HUMAN		CPI-SS09199F78C	0.07	0.0	0.28	0.002	0.027	0.006	0.034	0.0	0.0	1.199	0.0	0.066	0.104	1.011	0.011	0.021	0.004	0.13	0.225	0.865	0.0	0.025
IDE	P14735	False	IDE_HUMAN		CPI-SS0D57FCA8C	0.047	0.05	0.084	0.294	0.083	0.33	0.069	0.148	0.0	0.019	0.0	0.052	0.081	0.006	0.251	0.041	0.018	0.056	0.022	0.08	0.021	0.017
CCR1	P32246	False	CCR1_HUMAN		CPI-SS041751A4D	0.07	0.0	0.28	0.002	0.027	0.006	0.034	0.0	0.0	1.199	0.0	0.066	0.104	1.011	0.011	0.021	0.004	0.13	0.225	0.865	0.0	0.025
CCR8	P51685	False	CCR8_HUMAN		CPI-SS03188FD02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.006	0.0	0.0	0.0	0.0	0.015	0.0	0.0	0.0	0.0
CCR1	P32246	False	CCR1_HUMAN		CPI-SS0C84DF380	0.07	0.0	0.28	0.002	0.027	0.006	0.034	0.0	0.0	1.199	0.0	0.066	0.104	1.011	0.011	0.021	0.004	0.13	0.225	0.865	0.0	0.025
CCR3	P51677	False	CCR3_HUMAN		CPI-SS006C89002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.007	0.001	0.0	0.0	0.008	0.0	0.0	0.0	0.0
PODXL	O00592	False	PODXL_HUMAN		CPI-SS08920B6FF	0.002	0.036	0.008	0.13	0.026	0.182	0.2	0.042	0.133	0.0	0.464	0.0	0.073	0.002	0.421	0.148	0.022	0.0	0.034	0.001	0.0	0.001
CXCL12	P48061	False	SDF1_HUMAN		CPI-SS0A28DCA72	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002	0.002	0.0	0.0
OXT	P01178	False	NEU1_HUMAN		CPI-SS04B547174	0.002	0.0	0.0	0.003	0.0	0.007	0.0	0.0	0.0	0.0	0.0	0.013	0.0	0.0	0.01	0.0	0.001	0.0	0.0	0.0	0.066	0.0
NPPA	P01160	False	ANF_HUMAN		CPI-SS032AD1183	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
NRG2	O14511	False	NRG2_HUMAN		CPI-SS053613259	0.004	0.0	0.015	0.125	0.027	0.103	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.028	0.011	0.0	0.014	0.0	0.002	0.017	0.003
NRG2	O14511	False	NRG2_HUMAN		CPI-SS0E063192D	0.004	0.0	0.015	0.125	0.027	0.103	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.028	0.011	0.0	0.014	0.0	0.002	0.017	0.003
EREG	O14944	False	EREG_HUMAN		CPI-SS0FC42EC80	0.008	0.0	0.008	0.006	0.0	0.001	0.053	0.0	0.0	0.793	0.0	0.0	0.045	0.016	0.009	0.01	0.213	0.004	0.018	0.382	0.0	0.006
BTC	P35070	False	BTC_HUMAN		CPI-SS0F0D7F25C	0.0	0.1	0.001	0.383	0.1	0.079	0.042	0.033	0.0	0.0	0.0	0.035	0.01	0.001	0.126	0.053	0.006	0.004	0.0	0.0	0.0	0.0
NRG3	P56975	False	NRG3_HUMAN		CPI-SS0D5E30C6C	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.064	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
NRG1	Q02297	False	NRG1_HUMAN		CPI-SS0BD5C2A23	0.0	0.0	0.0	0.001	0.0	0.003	0.0	0.0	0.0	0.036	0.0	0.0	0.026	0.0	0.008	0.0	0.0	0.0	0.002	0.046	0.0	0.009
EREG	O14944	False	EREG_HUMAN		CPI-SS004C23DCE	0.008	0.0	0.008	0.006	0.0	0.001	0.053	0.0	0.0	0.793	0.0	0.0	0.045	0.016	0.009	0.01	0.213	0.004	0.018	0.382	0.0	0.006
NRG1	Q02297	False	NRG1_HUMAN		CPI-SS0708FE6FF	0.0	0.0	0.0	0.001	0.0	0.003	0.0	0.0	0.0	0.036	0.0	0.0	0.026	0.0	0.008	0.0	0.0	0.0	0.002	0.046	0.0	0.009
NRG1	Q02297	False	NRG1_HUMAN		CPI-SS0E075E5AF	0.0	0.0	0.0	0.001	0.0	0.003	0.0	0.0	0.0	0.036	0.0	0.0	0.026	0.0	0.008	0.0	0.0	0.0	0.002	0.046	0.0	0.009
NRG1	Q02297	False	NRG1_HUMAN		CPI-SS0978D28AB	0.0	0.0	0.0	0.001	0.0	0.003	0.0	0.0	0.0	0.036	0.0	0.0	0.026	0.0	0.008	0.0	0.0	0.0	0.002	0.046	0.0	0.009
NRG1	Q02297	False	NRG1_HUMAN		CPI-SS02572E1EF	0.0	0.0	0.0	0.001	0.0	0.003	0.0	0.0	0.0	0.036	0.0	0.0	0.026	0.0	0.008	0.0	0.0	0.0	0.002	0.046	0.0	0.009
RSPO4	Q2I0M5	False	RSPO4_HUMAN		CPI-SS034D3988F	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RSPO1	Q2MKA7	False	RSPO1_HUMAN		CPI-SS0057AB387	0.0	0.0	0.0	0.005	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002	0.0	0.002	0.0	0.0	0.0	0.0	0.0
RSPO4	Q2I0M5	False	RSPO4_HUMAN		CPI-SS0609FCF76	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RSPO1	Q2MKA7	False	RSPO1_HUMAN		CPI-SS0E5397537	0.0	0.0	0.0	0.005	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002	0.0	0.002	0.0	0.0	0.0	0.0	0.0
RSPO3	Q9BXY4	False	RSPO3_HUMAN		CPI-SS0EB5364D4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TNFSF11	O14788	False	TNF11_HUMAN		CPI-SS0ED2573CA	0.011	0.0	0.0	0.0	0.0	0.0	0.0	0.012	0.0	0.0	0.0	0.0	0.009	0.0	0.001	0.0	0.004	0.0	0.0	0.0	0.0	0.017
NCR3	O14931	False	NCTR3_HUMAN		CPI-SS027AFFC0E	0.324	0.0	0.134	0.0	0.0	0.0	0.0	0.0	0.119	0.0	0.0	0.06	0.036	0.001	0.0	0.0	0.0	0.068	0.0	0.0	0.0	0.102
NCR3	O14931	False	NCTR3_HUMAN		CPI-SS0F94547B2	0.324	0.0	0.134	0.0	0.0	0.0	0.0	0.0	0.119	0.0	0.0	0.06	0.036	0.001	0.0	0.0	0.0	0.068	0.0	0.0	0.0	0.102
PLD2	O14939	False	PLD2_HUMAN		CPI-SS06A999D25	0.014	0.0	0.024	0.041	0.021	0.029	0.027	0.118	0.0	0.0	0.089	0.012	0.014	0.01	0.115	0.024	0.05	0.032	0.019	0.056	0.0	0.02
SEMA3E	O15041	False	SEM3E_HUMAN		CPI-SS0F3A089DE	0.002	0.0	0.0	0.073	0.008	0.018	0.015	0.0	0.0	0.0	0.0	0.0	0.002	0.0	0.039	0.014	0.002	0.004	0.0	0.0	0.0	0.0
SEMA4A	Q9H3S1	False	SEM4A_HUMAN		CPI-SS044C72D0D	0.02	0.0	0.031	0.03	0.016	0.032	0.024	0.007	0.0	0.144	0.26	0.017	0.057	0.153	0.108	0.013	0.009	0.02	0.056	0.167	0.181	0.031
ANGPT2	O15123	False	ANGP2_HUMAN		CPI-SS0BAB460FF	0.054	0.0	0.131	0.067	0.008	0.058	0.0	0.0	0.0	0.0	0.253	0.0	0.014	0.002	0.042	0.0	0.006	0.049	0.002	0.016	0.0	0.015
EPHB6	O15197	False	EPHB6_HUMAN		CPI-SS090FC28E1	0.088	0.004	0.082	0.017	0.004	0.09	0.038	0.018	0.0	0.104	0.064	0.029	0.023	0.006	0.061	0.028	0.01	0.153	0.0	0.015	0.0	0.02
EPHB2	P29323	False	EPHB2_HUMAN		CPI-SS0B9E8C0DE	0.001	0.0	0.0	0.018	0.003	0.047	0.011	0.009	0.0	0.01	0.0	0.0	0.013	0.0	0.092	0.022	0.0	0.006	0.024	0.033	0.009	0.003
EPHB6	O15197	False	EPHB6_HUMAN		CPI-SS0DC4D593E	0.088	0.004	0.082	0.017	0.004	0.09	0.038	0.018	0.0	0.104	0.064	0.029	0.023	0.006	0.061	0.028	0.01	0.153	0.0	0.015	0.0	0.02
EPHB2	P29323	False	EPHB2_HUMAN		CPI-SS0111AAD26	0.001	0.0	0.0	0.018	0.003	0.047	0.011	0.009	0.0	0.01	0.0	0.0	0.013	0.0	0.092	0.022	0.0	0.006	0.024	0.033	0.009	0.003
EPHB3	P54753	False	EPHB3_HUMAN		CPI-SS0FF55B42C	0.0	0.0	0.001	0.006	0.0	0.016	0.0	0.028	0.0	0.0	0.0	0.0	0.007	0.0	0.058	0.008	0.151	0.0	0.0	0.002	0.0	0.0
EPHB4	P54760	False	EPHB4_HUMAN		CPI-SS0F21D6CA0	0.004	0.0	0.0	0.02	0.002	0.121	0.0	0.0	0.0	0.0	0.261	0.015	0.004	0.001	0.084	0.02	0.01	0.006	0.0	0.0	0.0	0.0
EPHB1	P54762	False	EPHB1_HUMAN		CPI-SS0470AF83E	0.004	0.0	0.008	0.024	0.004	0.004	0.0	0.001	0.0	0.029	0.059	0.016	0.003	0.12	0.001	0.0	0.001	0.006	0.0	0.014	0.017	0.003
EPHA4	P54764	False	EPHA4_HUMAN		CPI-SS00046DCF3	0.014	0.0	0.026	0.02	0.011	0.05	0.052	0.011	0.0	0.047	0.0	0.0	0.011	0.002	0.098	0.02	0.011	0.029	0.0	0.001	0.0	0.0
EPHB6	O15197	False	EPHB6_HUMAN		CPI-SS08718E4FB	0.088	0.004	0.082	0.017	0.004	0.09	0.038	0.018	0.0	0.104	0.064	0.029	0.023	0.006	0.061	0.028	0.01	0.153	0.0	0.015	0.0	0.02
EPHB2	P29323	False	EPHB2_HUMAN		CPI-SS0DA366C78	0.001	0.0	0.0	0.018	0.003	0.047	0.011	0.009	0.0	0.01	0.0	0.0	0.013	0.0	0.092	0.022	0.0	0.006	0.024	0.033	0.009	0.003
EPHB3	P54753	False	EPHB3_HUMAN		CPI-SS0A5B945E3	0.0	0.0	0.001	0.006	0.0	0.016	0.0	0.028	0.0	0.0	0.0	0.0	0.007	0.0	0.058	0.008	0.151	0.0	0.0	0.002	0.0	0.0
EPHB4	P54760	False	EPHB4_HUMAN		CPI-SS0865716E5	0.004	0.0	0.0	0.02	0.002	0.121	0.0	0.0	0.0	0.0	0.261	0.015	0.004	0.001	0.084	0.02	0.01	0.006	0.0	0.0	0.0	0.0
EPHB1	P54762	False	EPHB1_HUMAN		CPI-SS0D41C7AF5	0.004	0.0	0.008	0.024	0.004	0.004	0.0	0.001	0.0	0.029	0.059	0.016	0.003	0.12	0.001	0.0	0.001	0.006	0.0	0.014	0.017	0.003
EPHA4	P54764	False	EPHA4_HUMAN		CPI-SS07CA5A6F1	0.014	0.0	0.026	0.02	0.011	0.05	0.052	0.011	0.0	0.047	0.0	0.0	0.011	0.002	0.098	0.02	0.011	0.029	0.0	0.001	0.0	0.0
EFNB2	P52799	False	EFNB2_HUMAN		CPI-SS08D0F9109	0.0	0.0	0.003	0.035	0.01	0.018	0.011	0.113	0.0	0.047	0.0	0.0	0.006	0.002	0.088	0.014	0.16	0.0	0.0	0.0	0.008	0.0
EPHB2	P29323	False	EPHB2_HUMAN		CPI-SS0586F2596	0.001	0.0	0.0	0.018	0.003	0.047	0.011	0.009	0.0	0.01	0.0	0.0	0.013	0.0	0.092	0.022	0.0	0.006	0.024	0.033	0.009	0.003
EPHA1	P21709	False	EPHA1_HUMAN		CPI-SS03A2EFDD5	0.007	0.0	0.118	0.017	0.003	0.036	0.0	0.0	0.0	0.0	0.0	0.031	0.006	0.003	0.102	0.043	0.007	0.059	0.0	0.003	0.0	0.0
EPHA2	P29317	False	EPHA2_HUMAN		CPI-SS02AFCED82	0.003	0.097	0.0	0.234	0.061	0.2	0.117	0.061	0.0	0.0	0.0	0.0	0.089	0.006	0.319	0.07	1.028	0.008	0.018	0.003	0.0	0.008
EPHA3	P29320	False	EPHA3_HUMAN		CPI-SS0BEAB521F	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EFNB2	P52799	False	EFNB2_HUMAN		CPI-SS082ABF1EA	0.0	0.0	0.003	0.035	0.01	0.018	0.011	0.113	0.0	0.047	0.0	0.0	0.006	0.002	0.088	0.014	0.16	0.0	0.0	0.0	0.008	0.0
EFNB2	P52799	False	EFNB2_HUMAN		CPI-SS0BFD8E056	0.0	0.0	0.003	0.035	0.01	0.018	0.011	0.113	0.0	0.047	0.0	0.0	0.006	0.002	0.088	0.014	0.16	0.0	0.0	0.0	0.008	0.0
EPHA1	P21709	False	EPHA1_HUMAN		CPI-SS01A8F745A	0.007	0.0	0.118	0.017	0.003	0.036	0.0	0.0	0.0	0.0	0.0	0.031	0.006	0.003	0.102	0.043	0.007	0.059	0.0	0.003	0.0	0.0
EPHA2	P29317	False	EPHA2_HUMAN		CPI-SS07BECB892	0.003	0.097	0.0	0.234	0.061	0.2	0.117	0.061	0.0	0.0	0.0	0.0	0.089	0.006	0.319	0.07	1.028	0.008	0.018	0.003	0.0	0.008
EPHA3	P29320	False	EPHA3_HUMAN		CPI-SS0AB0604B5	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EPHA1	P21709	False	EPHA1_HUMAN		CPI-SS05E6D620E	0.007	0.0	0.118	0.017	0.003	0.036	0.0	0.0	0.0	0.0	0.0	0.031	0.006	0.003	0.102	0.043	0.007	0.059	0.0	0.003	0.0	0.0
EPHA2	P29317	False	EPHA2_HUMAN		CPI-SS09F973C1A	0.003	0.097	0.0	0.234	0.061	0.2	0.117	0.061	0.0	0.0	0.0	0.0	0.089	0.006	0.319	0.07	1.028	0.008	0.018	0.003	0.0	0.008
EPHA3	P29320	False	EPHA3_HUMAN		CPI-SS041888D39	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
VGF	O15240	False	VGF_HUMAN		CPI-SS04C396C5D	0.0	0.0	0.001	0.002	0.0	0.003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002	0.0	0.0	0.0	0.002	0.0	0.001	0.0	0.0
GPR37	O15354	False	GPR37_HUMAN		CPI-SS0AB647854	0.0	0.0	0.0	0.002	0.0	0.003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.005	0.0	0.0	0.0	0.0	0.0
GPR37L1	O60883	False	ETBR2_HUMAN		CPI-SS082900482	0.0	0.0	0.005	0.028	0.004	0.013	0.0	0.0	0.0	0.0	0.0	0.0	0.003	0.004	0.009	0.003	0.026	0.0	0.0	0.002	0.0	0.0
GRIN2D	O15399	False	NMDE4_HUMAN		CPI-SS0A915097A	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.006	0.002	0.0	0.0	0.002	0.005	0.0	0.0
GRIN2B	Q13224	False	NMDE2_HUMAN		CPI-SS0D529E576	0.0	0.0	0.0	0.0	0.0	0.0	0.015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CSF1	P09603	False	CSF1_HUMAN		CPI-SS068C129D6	0.028	0.009	0.276	0.004	0.003	0.001	0.0	0.0	0.14	0.157	0.0	0.013	0.073	0.375	0.009	0.007	0.003	0.18	0.044	0.1	0.0	0.024
CSF1	P09603	False	CSF1_HUMAN		CPI-SS086615F9B	0.028	0.009	0.276	0.004	0.003	0.001	0.0	0.0	0.14	0.157	0.0	0.013	0.073	0.375	0.009	0.007	0.003	0.18	0.044	0.1	0.0	0.024
FGFR4	P22455	False	FGFR4_HUMAN		CPI-SS04861AD1A	0.0	0.0	0.0	0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002	0.0	0.0	0.008	0.0	0.0	0.0	0.0
CEACAM1	P13688	False	CEAM1_HUMAN		CPI-SS055B305F1	0.013	0.0	0.015	0.032	0.02	0.042	0.208	0.006	0.0	0.178	0.0	0.018	0.026	0.169	0.176	0.043	0.926	0.046	0.008	0.008	0.0	0.0
ICAM3	P32942	False	ICAM3_HUMAN		CPI-SS0A2949959	0.799	0.053	0.732	0.051	0.044	0.101	0.033	0.042	0.162	0.047	0.463	0.318	0.372	0.416	0.095	0.059	0.012	0.787	0.035	0.131	0.871	0.386
CEACAM1	P13688	False	CEAM1_HUMAN		CPI-SS0A2D7895C	0.013	0.0	0.015	0.032	0.02	0.042	0.208	0.006	0.0	0.178	0.0	0.018	0.026	0.169	0.176	0.043	0.926	0.046	0.008	0.008	0.0	0.0
CEACAM5	P06731	False	CEAM5_HUMAN		CPI-SS0322747C2	0.02	0.002	0.027	0.129	0.109	1.097	0.689	0.002	0.0	0.0	0.0	0.018	0.177	0.001	1.307	0.864	1.611	0.011	0.029	0.007	0.0	0.014
CEACAM8	P31997	False	CEAM8_HUMAN		CPI-SS08C411721	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0
CEACAM6	P40199	False	CEAM6_HUMAN		CPI-SS001BF66E8	0.005	0.222	0.003	0.114	0.102	0.53	0.502	0.0	0.0	0.0	0.0	0.007	0.285	0.004	0.894	0.47	1.148	0.0	0.0	0.004	0.0	0.016
CEACAM1	P13688	False	CEAM1_HUMAN		CPI-SS0CCDBBBC0	0.013	0.0	0.015	0.032	0.02	0.042	0.208	0.006	0.0	0.178	0.0	0.018	0.026	0.169	0.176	0.043	0.926	0.046	0.008	0.008	0.0	0.0
TBXA2R	P21731	False	TA2R_HUMAN		CPI-SS042EB8C7A	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003	0.0	0.0	0.0	0.0	0.0	0.0	0.004	0.0	0.0
PTGER3	P43115	False	PE2R3_HUMAN		CPI-SS043E0F61D	0.0	0.0	0.004	0.001	0.003	0.0	0.041	0.428	0.162	0.0	0.0	0.0	0.0	0.001	0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PTGIR	P43119	False	PI2R_HUMAN		CPI-SS05D406038	0.0	0.0	0.004	0.002	0.009	0.0	0.0	0.0	0.0	0.204	0.0	0.017	0.002	0.003	0.002	0.0	0.0	0.01	0.0	0.093	0.015	0.029
ACE2	Q9BYF1	False	ACE2_HUMAN		CPI-SS085C150CE	0.0	0.0	0.0	0.038	0.015	0.012	0.034	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.047	0.011	0.021	0.0	0.0	0.0	0.0	0.0
TNFSF12	O43508	False	TNF12_HUMAN		CPI-SS079DDF890	0.168	0.0	0.216	0.02	0.018	0.018	0.0	0.009	0.138	0.0	0.058	0.11	0.075	0.012	0.014	0.0	0.007	0.319	0.261	0.134	0.021	0.209
TNFSF15	O95150	False	TNF15_HUMAN		CPI-SS0B0CF0EDF	0.011	0.0	0.002	0.001	0.0	0.013	0.0	0.011	0.0	0.0	0.0	0.0	0.003	0.154	0.014	0.013	0.005	0.0	0.0	0.164	0.0	0.033
TNFSF12	O43508	False	TNF12_HUMAN		CPI-SS02EF3E1BA	0.168	0.0	0.216	0.02	0.018	0.018	0.0	0.009	0.138	0.0	0.058	0.11	0.075	0.012	0.014	0.0	0.007	0.319	0.261	0.134	0.021	0.209
GNRH1	P01148	False	GON1_HUMAN		CPI-SS0D9EFC4F7	0.007	0.0	0.019	0.002	0.002	0.012	0.0	0.01	0.0	0.0	0.0	0.0	0.006	0.007	0.007	0.002	0.004	0.011	0.0	0.003	0.012	0.004
CD70	P32970	False	CD70_HUMAN		CPI-SS08A819670	0.151	0.0	0.1	0.0	0.003	0.0	0.0	0.0	0.0	0.0	0.0	0.034	0.05	0.001	0.0	0.0	0.0	0.046	0.0	0.0	0.0	0.01
VEGFA	P15692	False	VEGFA_HUMAN		CPI-SS0B9B3870A	0.036	0.141	0.012	0.029	0.032	0.227	0.11	0.017	0.112	0.426	0.0	0.01	0.058	0.579	0.49	0.11	0.344	0.029	0.028	0.333	0.023	0.099
VEGFA	P15692	False	VEGFA_HUMAN		CPI-SS02371A6D6	0.036	0.141	0.012	0.029	0.032	0.227	0.11	0.017	0.112	0.426	0.0	0.01	0.058	0.579	0.49	0.11	0.344	0.029	0.028	0.333	0.023	0.099
VEGFA	P15692	False	VEGFA_HUMAN		CPI-SS0C694CB44	0.036	0.141	0.012	0.029	0.032	0.227	0.11	0.017	0.112	0.426	0.0	0.01	0.058	0.579	0.49	0.11	0.344	0.029	0.028	0.333	0.023	0.099
FZD6	O60353	False	FZD6_HUMAN		CPI-SS082AD7B6A	0.009	0.0	0.02	0.561	0.118	0.269	0.088	0.06	0.0	0.0	0.108	0.0	0.026	0.0	0.207	0.046	0.011	0.014	0.0	0.001	0.018	0.033
PLXNC1	O60486	False	PLXC1_HUMAN		CPI-SS02B567BC7	0.104	0.0	0.088	0.017	0.024	0.003	0.029	0.0	0.541	0.269	1.073	0.0	0.049	0.879	0.011	0.017	0.003	0.038	0.135	0.586	0.104	0.056
FZD7	O75084	False	FZD7_HUMAN		CPI-SS070C51D94	0.0	0.0	0.007	0.003	0.0	0.005	0.0	0.068	0.0	0.0	0.0	0.0	0.001	0.0	0.003	0.0	0.029	0.0	0.0	0.002	0.0	0.0
LRP5	O75197	False	LRP5_HUMAN		CPI-SS0A4EE6FE1	0.005	0.0	0.002	0.157	0.031	0.231	0.023	0.077	0.0	0.0	0.0	0.0	0.025	0.0	0.221	0.055	0.005	0.003	0.003	0.001	0.0	0.0
LGR4	Q9BXB1	False	LGR4_HUMAN		CPI-SS0A874F65F	0.0	0.049	0.0	0.111	0.025	0.057	0.0	0.188	0.0	0.0	0.0	0.0	0.019	0.001	0.136	0.031	0.01	0.0	0.0	0.0	0.0	0.0
LRP6	O75581	False	LRP6_HUMAN		CPI-SS05B1FA8A8	0.004	0.053	0.0	0.12	0.017	0.199	0.056	0.106	0.0	0.0	0.199	0.0	0.021	0.001	0.22	0.04	0.006	0.005	0.0	0.002	0.013	0.006
NTF3	P20783	False	NTF3_HUMAN		CPI-SS05162C56B	0.0	0.0	0.0	0.0	0.0	0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.008	0.0	0.0	0.0	0.0	0.0
COPA	P53621	False	COPA_HUMAN		CPI-SS065F7DA2A	0.283	0.203	0.37	0.501	0.13	0.607	0.129	0.225	0.518	0.178	0.087	0.075	0.27	0.148	0.633	0.139	0.124	0.295	0.092	0.314	0.253	0.109
NAMPT	P43490	False	NAMPT_HUMAN		CPI-SS09A3FA737	0.312	0.31	0.308	0.146	0.163	0.408	0.247	0.103	0.0	2.101	1.498	0.235	0.309	3.801	0.728	0.257	0.801	0.357	0.35	1.917	0.358	0.429
C3	P01024	False	CO3_HUMAN		CPI-SS03E48EFEA	0.0	0.158	0.001	0.581	0.294	1.413	0.552	0.054	0.0	0.039	0.0	0.016	0.235	0.048	1.607	0.697	0.055	0.006	0.061	0.076	0.063	0.054
ADORA2A	P29274	False	AA2AR_HUMAN		CPI-SS03E273233	0.0	0.0	0.004	0.0	0.0	0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.002	0.008	0.0	0.0	0.0	0.0	0.0	0.005	0.0	0.003
ADORA3	P0DMS8	False	AA3R_HUMAN		CPI-SS0FF6CFDCA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.006	0.0	0.0	0.0	0.0	0.122	0.034	0.0	0.0
ADORA2B	P29275	False	AA2BR_HUMAN		CPI-SS079728E8B	0.0	0.088	0.005	0.125	0.028	0.109	0.049	0.0	0.0	0.01	0.0	0.0	0.03	0.001	0.244	0.033	0.0	0.002	0.0	0.027	0.0	0.004
C5	P01031	False	CO5_HUMAN		CPI-SS00581282E	0.003	0.0	0.012	0.03	0.003	0.024	0.0	0.0	0.0	0.0	0.233	0.0	0.002	0.002	0.008	0.003	0.0	0.0	0.0	0.005	0.0	0.0
C5	P01031	False	CO5_HUMAN		CPI-SS0A7E3A1AF	0.003	0.0	0.012	0.03	0.003	0.024	0.0	0.0	0.0	0.0	0.233	0.0	0.002	0.002	0.008	0.003	0.0	0.0	0.0	0.005	0.0	0.0
LHB	P01229	False	LSHB_HUMAN		CPI-SS0DEF5D0CE	0.0	0.0	0.002	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GH1	P01241	False	SOMA_HUMAN		CPI-SS0A606E2DA	0.003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005	0.0	0.0	0.0	0.0
GH1	P01241	False	SOMA_HUMAN		CPI-SS0ACD3CCEE	0.003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005	0.0	0.0	0.0	0.0
TG	P01266	False	THYG_HUMAN		CPI-SS01963C4CA	0.0	0.0	0.0	0.004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.012	0.003	0.0	0.0	0.0	0.0	0.007	0.0	0.0
PTHLH	P12272	False	PTHR_HUMAN		CPI-SS012B216F6	0.0	0.107	0.0	0.029	0.003	0.035	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.043	0.011	0.003	0.0	0.0	0.003	0.0	0.0
