gene_name	uniprot	is_complex	protein_name	complex_name	id_cp_interaction	B cell	Basal	CTL	Ciliated	Ciliated-diff	IRC	Ionocyte	MC	MoMa	NKT	NKT-p	Secretory	Secretory-diff	Squamous	Treg	moDC	nrMa	pDC	rMa
ACKR2	O00590	False	ACKR2_HUMAN		CPI-SS045A5FC60	0.0	0.0	0.0	0.038	0.005	0.0	0.0	0.313	0.0	0.0	0.0	0.01	0.0	0.025	0.0	0.0	0.213	0.0	0.0
CCR1	P32246	False	CCR1_HUMAN		CPI-SS059CC19A3	0.35	0.0	0.354	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13	0.0	0.443	0.0	0.064
ACKR2	O00590	False	ACKR2_HUMAN		CPI-SS091B461CB	0.0	0.0	0.0	0.038	0.005	0.0	0.0	0.313	0.0	0.0	0.0	0.01	0.0	0.025	0.0	0.0	0.213	0.0	0.0
CCR10	P46092	False	CCR10_HUMAN		CPI-SS064C772FE	0.035	0.0	0.0	0.017	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003	0.0	0.004	0.0	0.0	0.0	0.0	0.0
ACKR2	O00590	False	ACKR2_HUMAN		CPI-SS0D34B5517	0.0	0.0	0.0	0.038	0.005	0.0	0.0	0.313	0.0	0.0	0.0	0.01	0.0	0.025	0.0	0.0	0.213	0.0	0.0
CCR10	P46092	False	CCR10_HUMAN		CPI-SS0B2979A10	0.035	0.0	0.0	0.017	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003	0.0	0.004	0.0	0.0	0.0	0.0	0.0
CCR2	P41597	False	CCR2_HUMAN		CPI-SS092C1B321	0.062	0.0	0.026	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.041	0.667	0.0
CCR1	P32246	False	CCR1_HUMAN		CPI-SS04EE957D8	0.35	0.0	0.354	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13	0.0	0.443	0.0	0.064
CCR1	P32246	False	CCR1_HUMAN		CPI-SS041751A4D	0.35	0.0	0.354	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13	0.0	0.443	0.0	0.064
CCR1	P32246	False	CCR1_HUMAN		CPI-SS0C84DF380	0.35	0.0	0.354	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13	0.0	0.443	0.0	0.064
PODXL	O00592	False	PODXL_HUMAN		CPI-SS08920B6FF	0.0	0.136	0.0	0.194	0.028	0.211	0.02	0.0	0.0	0.0	0.0	0.395	0.151	0.014	0.0	0.0	0.0	0.0	0.0
OXT	P01178	False	NEU1_HUMAN		CPI-SS04B547174	0.0	0.017	0.0	0.003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004	0.0	0.0	0.0	0.0	0.0	0.0	0.0
NRG2	O14511	False	NRG2_HUMAN		CPI-SS053613259	0.0	0.0	0.029	0.121	0.057	0.0	0.0	0.0	0.0	0.0	0.0	0.057	0.016	0.0	0.0	0.0	0.0	0.0	0.0
NRG2	O14511	False	NRG2_HUMAN		CPI-SS0E063192D	0.0	0.0	0.029	0.121	0.057	0.0	0.0	0.0	0.0	0.0	0.0	0.057	0.016	0.0	0.0	0.0	0.0	0.0	0.0
EREG	O14944	False	EREG_HUMAN		CPI-SS0FC42EC80	0.0	0.0	0.0	0.004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.019	0.0	0.288	0.027	0.0	1.369	0.0	0.046
BTC	P35070	False	BTC_HUMAN		CPI-SS0F0D7F25C	0.0	0.026	0.0	0.473	0.088	0.104	0.02	0.0	0.0	0.0	0.058	0.145	0.037	0.029	0.0	0.0	0.0	0.0	0.0
NRG1	Q02297	False	NRG1_HUMAN		CPI-SS0BD5C2A23	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.028	0.0	0.0	0.0	0.0	0.185	0.0	0.0
EREG	O14944	False	EREG_HUMAN		CPI-SS004C23DCE	0.0	0.0	0.0	0.004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.019	0.0	0.288	0.027	0.0	1.369	0.0	0.046
NRG1	Q02297	False	NRG1_HUMAN		CPI-SS0708FE6FF	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.028	0.0	0.0	0.0	0.0	0.185	0.0	0.0
NRG1	Q02297	False	NRG1_HUMAN		CPI-SS0E075E5AF	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.028	0.0	0.0	0.0	0.0	0.185	0.0	0.0
NRG1	Q02297	False	NRG1_HUMAN		CPI-SS0978D28AB	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.028	0.0	0.0	0.0	0.0	0.185	0.0	0.0
NRG1	Q02297	False	NRG1_HUMAN		CPI-SS02572E1EF	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.028	0.0	0.0	0.0	0.0	0.185	0.0	0.0
RSPO4	Q2I0M5	False	RSPO4_HUMAN		CPI-SS034D3988F	0.0	0.0	0.0	0.005	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RSPO1	Q2MKA7	False	RSPO1_HUMAN		CPI-SS0057AB387	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RSPO4	Q2I0M5	False	RSPO4_HUMAN		CPI-SS0609FCF76	0.0	0.0	0.0	0.005	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RSPO1	Q2MKA7	False	RSPO1_HUMAN		CPI-SS0E5397537	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TNFSF11	O14788	False	TNF11_HUMAN		CPI-SS0ED2573CA	0.139	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002	0.0	0.001	0.0	0.0	0.0	0.0	0.0
NCR3	O14931	False	NCTR3_HUMAN		CPI-SS027AFFC0E	0.202	0.0	0.147	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.007	0.0	0.335	0.0	0.0	0.0	0.0
NCR3	O14931	False	NCTR3_HUMAN		CPI-SS0F94547B2	0.202	0.0	0.147	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.007	0.0	0.335	0.0	0.0	0.0	0.0
PLD2	O14939	False	PLD2_HUMAN		CPI-SS06A999D25	0.0	0.036	0.0	0.054	0.0	0.023	0.0	0.0	0.158	0.0	0.008	0.111	0.018	0.058	0.0	0.0	0.074	0.0	0.0
SEMA3E	O15041	False	SEM3E_HUMAN		CPI-SS0F3A089DE	0.0	0.0	0.0	0.141	0.027	0.027	0.0	0.0	0.0	0.0	0.0	0.034	0.013	0.001	0.0	0.0	0.017	0.0	0.0
SEMA4A	Q9H3S1	False	SEM4A_HUMAN		CPI-SS044C72D0D	0.0	0.063	0.031	0.063	0.039	0.0	0.036	0.0	0.367	0.0	0.221	0.169	0.098	0.033	0.0	0.0	0.264	0.0	0.029
EPHB6	O15197	False	EPHB6_HUMAN		CPI-SS090FC28E1	0.111	0.075	0.114	0.044	0.012	0.0	0.0	0.0	0.0	0.0	0.068	0.179	0.028	0.023	0.077	0.0	0.0	0.361	0.0
EPHB2	P29323	False	EPHB2_HUMAN		CPI-SS0B9E8C0DE	0.0	0.016	0.0	0.023	0.0	0.03	0.02	0.0	0.0	0.0	0.008	0.091	0.026	0.01	0.0	0.0	0.034	0.0	0.0
EPHB6	O15197	False	EPHB6_HUMAN		CPI-SS0DC4D593E	0.111	0.075	0.114	0.044	0.012	0.0	0.0	0.0	0.0	0.0	0.068	0.179	0.028	0.023	0.077	0.0	0.0	0.361	0.0
EPHB2	P29323	False	EPHB2_HUMAN		CPI-SS0111AAD26	0.0	0.016	0.0	0.023	0.0	0.03	0.02	0.0	0.0	0.0	0.008	0.091	0.026	0.01	0.0	0.0	0.034	0.0	0.0
EPHB3	P54753	False	EPHB3_HUMAN		CPI-SS0FF55B42C	0.0	0.018	0.0	0.004	0.0	0.023	0.114	0.0	0.0	0.0	0.014	0.088	0.01	0.173	0.0	0.0	0.019	0.0	0.0
EPHB4	P54760	False	EPHB4_HUMAN		CPI-SS0F21D6CA0	0.0	0.059	0.0	0.013	0.0	0.0	0.03	0.0	0.0	0.0	0.0	0.122	0.006	0.027	0.0	0.0	0.054	0.0	0.0
EPHB1	P54762	False	EPHB1_HUMAN		CPI-SS0470AF83E	0.0	0.0	0.0	0.047	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.007	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EPHA4	P54764	False	EPHA4_HUMAN		CPI-SS00046DCF3	0.035	0.044	0.0	0.028	0.005	0.029	0.0	0.0	0.0	0.0	0.05	0.222	0.062	0.054	0.0	0.0	0.0	0.0	0.0
EPHB6	O15197	False	EPHB6_HUMAN		CPI-SS08718E4FB	0.111	0.075	0.114	0.044	0.012	0.0	0.0	0.0	0.0	0.0	0.068	0.179	0.028	0.023	0.077	0.0	0.0	0.361	0.0
EPHB2	P29323	False	EPHB2_HUMAN		CPI-SS0DA366C78	0.0	0.016	0.0	0.023	0.0	0.03	0.02	0.0	0.0	0.0	0.008	0.091	0.026	0.01	0.0	0.0	0.034	0.0	0.0
EPHB3	P54753	False	EPHB3_HUMAN		CPI-SS0A5B945E3	0.0	0.018	0.0	0.004	0.0	0.023	0.114	0.0	0.0	0.0	0.014	0.088	0.01	0.173	0.0	0.0	0.019	0.0	0.0
EPHB4	P54760	False	EPHB4_HUMAN		CPI-SS0865716E5	0.0	0.059	0.0	0.013	0.0	0.0	0.03	0.0	0.0	0.0	0.0	0.122	0.006	0.027	0.0	0.0	0.054	0.0	0.0
EPHB1	P54762	False	EPHB1_HUMAN		CPI-SS0D41C7AF5	0.0	0.0	0.0	0.047	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.007	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EPHA4	P54764	False	EPHA4_HUMAN		CPI-SS07CA5A6F1	0.035	0.044	0.0	0.028	0.005	0.029	0.0	0.0	0.0	0.0	0.05	0.222	0.062	0.054	0.0	0.0	0.0	0.0	0.0
EFNB2	P52799	False	EFNB2_HUMAN		CPI-SS08D0F9109	0.0	0.006	0.0	0.033	0.024	0.026	1.215	0.437	0.0	0.0	0.092	0.087	0.027	0.292	0.0	0.0	0.0	0.0	0.0
EPHB2	P29323	False	EPHB2_HUMAN		CPI-SS0586F2596	0.0	0.016	0.0	0.023	0.0	0.03	0.02	0.0	0.0	0.0	0.008	0.091	0.026	0.01	0.0	0.0	0.034	0.0	0.0
EPHA1	P21709	False	EPHA1_HUMAN		CPI-SS03A2EFDD5	0.034	0.026	0.16	0.027	0.01	0.056	0.0	0.0	0.0	0.0	0.0	0.118	0.042	0.037	0.027	0.0	0.0	0.0	0.0
EPHA2	P29317	False	EPHA2_HUMAN		CPI-SS02AFCED82	0.0	0.088	0.0	0.278	0.072	0.061	0.036	0.0	0.0	0.0	0.24	0.3	0.212	0.757	0.0	0.0	0.11	0.0	0.016
EPHA3	P29320	False	EPHA3_HUMAN		CPI-SS0BEAB521F	0.0	0.0	0.0	0.0	0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EFNB2	P52799	False	EFNB2_HUMAN		CPI-SS082ABF1EA	0.0	0.006	0.0	0.033	0.024	0.026	1.215	0.437	0.0	0.0	0.092	0.087	0.027	0.292	0.0	0.0	0.0	0.0	0.0
EFNB2	P52799	False	EFNB2_HUMAN		CPI-SS0BFD8E056	0.0	0.006	0.0	0.033	0.024	0.026	1.215	0.437	0.0	0.0	0.092	0.087	0.027	0.292	0.0	0.0	0.0	0.0	0.0
EPHA1	P21709	False	EPHA1_HUMAN		CPI-SS01A8F745A	0.034	0.026	0.16	0.027	0.01	0.056	0.0	0.0	0.0	0.0	0.0	0.118	0.042	0.037	0.027	0.0	0.0	0.0	0.0
EPHA2	P29317	False	EPHA2_HUMAN		CPI-SS07BECB892	0.0	0.088	0.0	0.278	0.072	0.061	0.036	0.0	0.0	0.0	0.24	0.3	0.212	0.757	0.0	0.0	0.11	0.0	0.016
EPHA3	P29320	False	EPHA3_HUMAN		CPI-SS0AB0604B5	0.0	0.0	0.0	0.0	0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EPHA1	P21709	False	EPHA1_HUMAN		CPI-SS05E6D620E	0.034	0.026	0.16	0.027	0.01	0.056	0.0	0.0	0.0	0.0	0.0	0.118	0.042	0.037	0.027	0.0	0.0	0.0	0.0
EPHA2	P29317	False	EPHA2_HUMAN		CPI-SS09F973C1A	0.0	0.088	0.0	0.278	0.072	0.061	0.036	0.0	0.0	0.0	0.24	0.3	0.212	0.757	0.0	0.0	0.11	0.0	0.016
EPHA3	P29320	False	EPHA3_HUMAN		CPI-SS041888D39	0.0	0.0	0.0	0.0	0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
VGF	O15240	False	VGF_HUMAN		CPI-SS04C396C5D	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.011	0.0	0.0	0.0	0.0	0.0
GPR37	O15354	False	GPR37_HUMAN		CPI-SS0AB647854	0.0	0.0	0.0	0.004	0.0	0.0	0.02	0.0	0.0	0.0	0.0	0.037	0.006	0.011	0.0	0.0	0.0	0.0	0.0
GPR37L1	O60883	False	ETBR2_HUMAN		CPI-SS082900482	0.0	0.0	0.0	0.057	0.0	0.0	0.035	0.0	0.0	0.0	0.0	0.009	0.0	0.007	0.0	0.0	0.0	0.0	0.0
GRIN2D	O15399	False	NMDE4_HUMAN		CPI-SS0A915097A	0.0	0.003	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GRIN2A	Q12879	False	NMDE1_HUMAN		CPI-SS070B0E458	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CSF1	P09603	False	CSF1_HUMAN		CPI-SS068C129D6	0.0	0.008	0.469	0.003	0.0	0.0	0.0	0.15	0.0	0.0	0.0	0.032	0.0	0.0	0.42	0.0	0.0	0.0	0.0
CSF1	P09603	False	CSF1_HUMAN		CPI-SS086615F9B	0.0	0.008	0.469	0.003	0.0	0.0	0.0	0.15	0.0	0.0	0.0	0.032	0.0	0.0	0.42	0.0	0.0	0.0	0.0
FGFR4	P22455	False	FGFR4_HUMAN		CPI-SS04861AD1A	0.0	0.0	0.0	0.006	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002	0.039	0.0	0.0	0.0	0.0
CEACAM1	P13688	False	CEAM1_HUMAN		CPI-SS0A2D7895C	0.082	0.014	0.0	0.024	0.0	0.083	0.02	0.0	0.0	0.0	0.0	0.182	0.08	0.65	0.0	0.0	0.217	0.0	0.0
CEACAM5	P06731	False	CEAM5_HUMAN		CPI-SS0322747C2	0.0	0.082	0.0	0.059	0.159	0.331	0.181	0.0	0.0	0.0	0.07	0.912	1.184	2.312	0.0	0.0	0.0	0.0	0.0
CEACAM6	P40199	False	CEAM6_HUMAN		CPI-SS001BF66E8	0.034	0.002	0.0	0.04	0.071	0.292	0.091	0.0	0.0	0.0	0.0	0.509	0.351	1.342	0.0	0.0	0.0	0.0	0.0
TBXA2R	P21731	False	TA2R_HUMAN		CPI-SS042EB8C7A	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.001	0.0	0.0	0.0	0.0	0.0
PTGER3	P43115	False	PE2R3_HUMAN		CPI-SS043E0F61D	0.0	0.0	0.0	0.0	0.0	0.0	1.046	0.15	0.0	0.0	0.0	0.001	0.0	0.002	0.0	0.0	0.0	0.0	0.0
PTGIR	P43119	False	PI2R_HUMAN		CPI-SS05D406038	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.284	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.042	0.0	0.038
ACE2	Q9BYF1	False	ACE2_HUMAN		CPI-SS085C150CE	0.0	0.017	0.0	0.039	0.022	0.0	0.102	0.0	0.0	0.0	0.0	0.025	0.0	0.02	0.0	0.0	0.0	0.0	0.0
TNFSF12	O43508	False	TNF12_HUMAN		CPI-SS079DDF890	0.373	0.014	0.117	0.028	0.011	0.0	0.094	0.313	0.0	0.0	0.0	0.018	0.0	0.0	0.112	0.0	0.112	0.0	0.388
TNFSF15	O95150	False	TNF15_HUMAN		CPI-SS0B0CF0EDF	0.0	0.0	0.0	0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.059	0.007	0.0	0.001	0.0	0.0	0.054	0.0	0.0
TNFSF12	O43508	False	TNF12_HUMAN		CPI-SS02EF3E1BA	0.373	0.014	0.117	0.028	0.011	0.0	0.094	0.313	0.0	0.0	0.0	0.018	0.0	0.0	0.112	0.0	0.112	0.0	0.388
GNRH1	P01148	False	GON1_HUMAN		CPI-SS0D9EFC4F7	0.0	0.013	0.042	0.005	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.005	0.054	0.0	0.0	0.0	0.0
CD70	P32970	False	CD70_HUMAN		CPI-SS08A819670	0.074	0.0	0.034	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.078
VEGFA	P15692	False	VEGFA_HUMAN		CPI-SS0B9B3870A	0.0	0.081	0.037	0.033	0.012	0.0	0.073	0.0	1.456	0.0	0.151	0.568	0.191	0.695	0.0	0.0	0.659	0.0	0.097
VEGFA	P15692	False	VEGFA_HUMAN		CPI-SS02371A6D6	0.0	0.081	0.037	0.033	0.012	0.0	0.073	0.0	1.456	0.0	0.151	0.568	0.191	0.695	0.0	0.0	0.659	0.0	0.097
FZD6	O60353	False	FZD6_HUMAN		CPI-SS082AD7B6A	0.034	0.057	0.038	0.524	0.079	0.085	0.094	0.0	0.0	0.0	0.106	0.241	0.038	0.032	0.0	0.0	0.0	0.0	0.0
PLXNC1	O60486	False	PLXC1_HUMAN		CPI-SS02B567BC7	0.309	0.008	0.041	0.023	0.0	0.0	0.0	0.381	0.284	0.0	0.0	0.016	0.0	0.0	0.195	0.0	0.307	0.0	0.0
FZD7	O75084	False	FZD7_HUMAN		CPI-SS070C51D94	0.035	0.013	0.0	0.001	0.0	0.0	0.104	0.0	0.0	0.0	0.0	0.004	0.013	0.029	0.0	0.0	0.0	0.0	0.0
LRP5	O75197	False	LRP5_HUMAN		CPI-SS0A4EE6FE1	0.0	0.028	0.0	0.162	0.063	0.031	0.289	0.0	0.0	0.0	0.0	0.214	0.089	0.01	0.0	0.0	0.0	0.361	0.0
LRP6	O75581	False	LRP6_HUMAN		CPI-SS05B1FA8A8	0.0	0.02	0.0	0.17	0.046	0.055	0.177	0.0	0.0	0.0	0.084	0.301	0.023	0.055	0.0	0.0	0.0	0.0	0.0
NTF3	P20783	False	NTF3_HUMAN		CPI-SS05162C56B	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GRN	P28799	False	GRN_HUMAN		CPI-SS0829B8FD2	0.515	0.316	0.029	0.337	0.041	0.228	0.485	1.041	0.532	0.0	0.373	1.194	0.609	0.566	0.029	2.98	1.229	1.481	0.92
ICAM3	P32942	False	ICAM3_HUMAN		CPI-SS00F979E99	0.743	0.037	0.379	0.066	0.024	0.064	0.035	0.716	0.323	1.183	0.0	0.064	0.036	0.037	0.572	0.0	0.25	0.667	0.313
COPA	P53621	False	COPA_HUMAN		CPI-SS065F7DA2A	0.542	0.101	0.425	0.593	0.156	0.143	0.161	0.501	0.126	0.0	0.435	0.492	0.256	0.149	0.315	0.0	0.651	1.028	0.161
NAMPT	P43490	False	NAMPT_HUMAN		CPI-SS09A3FA737	0.196	0.098	0.059	0.216	0.077	0.098	0.147	0.0	1.053	0.0	0.13	0.682	0.416	0.578	0.044	0.0	1.592	0.0	0.247
C3	P01024	False	CO3_HUMAN		CPI-SS03E48EFEA	0.0	0.074	0.0	0.248	0.087	0.327	0.229	0.0	0.0	0.0	0.17	0.908	0.39	0.07	0.0	0.0	0.0	0.0	0.029
ADORA3	P0DMS8	False	AA3R_HUMAN		CPI-SS0FF6CFDCA	0.0	0.0	0.0	0.003	0.0	0.0	0.0	0.15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.165	0.0	0.0
ADORA2B	P29275	False	AA2BR_HUMAN		CPI-SS079728E8B	0.0	0.047	0.0	0.077	0.012	0.083	0.0	0.0	0.0	0.0	0.055	0.123	0.024	0.005	0.0	0.0	0.035	0.0	0.0
C5	P01031	False	CO5_HUMAN		CPI-SS00581282E	0.0	0.0	0.0	0.033	0.005	0.0	0.0	0.0	0.0	0.0	0.0	0.008	0.0	0.0	0.0	0.0	0.0	0.0	0.0
C5	P01031	False	CO5_HUMAN		CPI-SS0A7E3A1AF	0.0	0.0	0.0	0.033	0.005	0.0	0.0	0.0	0.0	0.0	0.0	0.008	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TG	P01266	False	THYG_HUMAN		CPI-SS01963C4CA	0.0	0.0	0.0	0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.006	0.0	0.004	0.0	0.0	0.0	0.0	0.0
IL1B	P01584	False	IL1B_HUMAN		CPI-SS0C6448B94	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.641	0.0	0.0	0.0	0.0	0.001	0.0	0.0	1.604	0.0	0.235
CD8A	P01732	False	CD8A_HUMAN		CPI-SS0C1F25516	0.0	0.0	1.973	0.003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.687	0.0	0.0	0.0	0.016
ANXA1	P04083	False	ANXA1_HUMAN		CPI-SS0F739D3DB	0.182	1.895	0.965	3.203	3.203	4.536	0.367	2.802	0.526	0.0	1.892	2.56	2.825	3.583	0.976	0.0	1.391	0.0	1.058
ANXA1	P04083	False	ANXA1_HUMAN		CPI-SS06CCF5A54	0.182	1.895	0.965	3.203	3.203	4.536	0.367	2.802	0.526	0.0	1.892	2.56	2.825	3.583	0.976	0.0	1.391	0.0	1.058
ANXA1	P04083	False	ANXA1_HUMAN		CPI-SS030BB46BB	0.182	1.895	0.965	3.203	3.203	4.536	0.367	2.802	0.526	0.0	1.892	2.56	2.825	3.583	0.976	0.0	1.391	0.0	1.058
APP	P05067	False	A4_HUMAN		CPI-SS0F66EA6BE	0.022	0.436	0.064	0.805	0.248	0.215	0.804	0.0	0.154	0.0	0.182	0.998	0.619	0.873	0.034	0.0	0.335	1.941	0.016
SAA1	P0DJI8	False	SAA1_HUMAN		CPI-SS05F45873A	0.027	0.008	0.03	1.672	1.13	1.559	0.14	0.0	0.273	0.0	0.058	0.458	0.658	0.706	0.041	0.0	0.017	0.0	0.0
CSF2	P04141	False	CSF2_HUMAN		CPI-SS092E57263	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.074	0.0	0.0	0.0	0.0
IL13	P35225	False	IL13_HUMAN		CPI-SS0073098F3	0.045	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TNFSF9	P41273	False	TNFL9_HUMAN		CPI-SS0431D2256	0.0	0.0	0.036	0.004	0.0	0.0	0.0	0.0	0.363	0.0	0.0	0.003	0.0	0.076	0.0	0.0	0.0	0.0	0.098
IL6	P05231	False	IL6_HUMAN		CPI-SS0DC2A6D35	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002	0.014	0.004	0.0	0.0	0.0	0.0	0.0
CD2	P06729	False	CD2_HUMAN		CPI-SS00B1BEE64	0.0	0.0	2.745	0.0	0.0	0.0	0.0	0.0	0.158	0.0	0.0	0.002	0.0	0.0	2.386	0.0	0.033	0.0	0.0
CEACAM5	P06731	False	CEAM5_HUMAN		CPI-SS0B537DD3F	0.0	0.082	0.0	0.059	0.159	0.331	0.181	0.0	0.0	0.0	0.07	0.912	1.184	2.312	0.0	0.0	0.0	0.0	0.0
CEACAM5	P06731	False	CEAM5_HUMAN		CPI-SS0AC66088D	0.0	0.082	0.0	0.059	0.159	0.331	0.181	0.0	0.0	0.0	0.07	0.912	1.184	2.312	0.0	0.0	0.0	0.0	0.0
PROS1	P07225	False	PROS_HUMAN		CPI-SS0C85BC9AF	0.0	0.009	0.0	0.428	0.178	0.0	0.0	0.778	0.0	0.0	0.0	0.03	0.009	0.001	0.0	0.0	0.033	0.0	0.03
PROS1	P07225	False	PROS_HUMAN		CPI-SS09C4988F8	0.0	0.009	0.0	0.428	0.178	0.0	0.0	0.778	0.0	0.0	0.0	0.03	0.009	0.001	0.0	0.0	0.033	0.0	0.03
CSF1R	P07333	False	CSF1R_HUMAN		CPI-SS0B01CF3AB	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.21	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.963	0.0	0.121
CSF1R	P07333	False	CSF1R_HUMAN		CPI-SS05BE83BC6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.21	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.963	0.0	0.121
CSF1R	P07333	False	CSF1R_HUMAN		CPI-SS0DFA98A14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.21	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.963	0.0	0.121
PTPRC	P08575	False	PTPRC_HUMAN		CPI-SS0CBC7840D	2.043	0.0	2.783	0.003	0.0	0.0	0.074	0.681	1.092	0.0	0.0	0.002	0.0	0.002	2.669	2.98	1.593	0.828	0.728
PTPRC	P08575	False	PTPRC_HUMAN		CPI-SS0822AEF5F	2.043	0.0	2.783	0.003	0.0	0.0	0.074	0.681	1.092	0.0	0.0	0.002	0.0	0.002	2.669	2.98	1.593	0.828	0.728
MET	P08581	False	MET_HUMAN		CPI-SS07F60834D	0.0	0.063	0.0	0.27	0.056	0.169	0.592	0.0	0.0	0.0	0.0	0.463	0.118	0.114	0.0	0.0	0.028	0.0	0.0
CD48	P09326	False	CD48_HUMAN		CPI-SS056FF4363	1.279	0.0	0.925	0.001	0.0	0.0	0.0	0.8	0.437	1.183	0.0	0.001	0.0	0.0	1.133	0.0	0.835	0.361	0.768
ALOX5	P09917	False	LOX5_HUMAN		CPI-SS080611C5B	0.022	0.0	0.0	0.001	0.0	0.0	0.0	1.638	0.311	0.0	0.0	0.047	0.0	0.0	0.0	0.0	0.318	0.0	0.158
CSF3	P09919	False	CSF3_HUMAN		CPI-SS08376F0E6	0.0	0.0	0.0	0.024	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.019	0.039	0.0	0.0	0.0	0.0	0.0	0.0
KIT	P10721	False	KIT_HUMAN		CPI-SS02D7A1DDE	0.0	0.034	0.0	0.012	0.0	0.0	1.223	2.425	0.0	0.0	0.031	0.228	0.053	0.003	0.111	0.0	0.0	0.0	0.0
